Company Name,Industry,CMP Rs.,Mar Cap Rs.Cr.,P/E,EV / EBITDA,Earnings Yield %,CMP / BV,ROE %,Sales growth %,Profit growth %,From 52w high,50 DMA Rs.,200 DMA Rs.,Last Close,Pivot,S1,S2,R1,R2,SMA50,SMA200,Trend,ATR,StopLoss,TargetPrice,_ticker,_fetched_at,_status
Pidilite Industries Ltd.,Chemicals,1579.9,160808.5,65.805916,44.688,,14.849484,23.523001,14.099999999999998,37.0,0.95,1449.05,1460.76,1579.9,1578.43,1570.67,1560.23,1588.87,1596.63,1449.05,1460.76,Sideways,31.23,1517.44,1642.36,PIDILITIND.NS,2026-06-22 00:45:15,OK
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,136.65,7522.27,17.59355,12.249,,1.4708103,8.665000000000001,49.6,158.9,15.53,128.66,135.52,136.65,134.7,133.1,131.75,136.05,137.65,128.66,135.52,Sideways,4.45,127.75,145.55,RCF.NS,2026-06-22 00:45:16,OK
Solar Industries India Ltd.,Chemicals,18052.0,163425.04,97.128105,62.766,,26.033932,31.331999999999997,40.9,70.0,4.36,16759.02,14289.72,18052.0,17704.67,17549.33,17334.67,17919.33,18074.67,16759.02,14289.72,Uptrend,565.07,16921.86,19182.14,SOLARINDS.NS,2026-06-22 00:45:17,OK
SRF Ltd.,Chemicals,2709.8,80385.31,43.8977,23.507,,5.7246833,13.763,7.000000000000001,10.6,18.24,2639.12,2796.69,2709.8,2701.73,2676.27,2649.53,2728.47,2753.93,2639.12,2796.69,Sideways,68.16,2573.47,2846.13,SRF.NS,2026-06-22 00:45:18,OK
Sumitomo Chemical India Ltd.,Chemicals,452.7,22611.3,41.712708,31.745,,6.6658816,17.24,0.6,11.5,31.92,459.41,462.35,452.7,457.55,445.85,439.35,464.05,475.75,459.41,462.35,Downtrend,13.61,436.44,479.92,SUMICHEM.NS,2026-06-22 00:45:18,OK
Swan Corp Ltd.,Chemicals,318.25,9961.66,36.69746,-64.664,,1.4127082,2.9949998,1.6,,39.56,327.62,401.83,318.25,322.37,314.08,309.22,327.23,335.52,327.62,401.83,Downtrend,9.94,311.24,338.14,SWANCORP.NS,2026-06-22 00:45:19,OK
Tata Chemicals Ltd.,Chemicals,729.15,18560.27,,15.881,,0.8752371,-7.678,-2.0,,27.89,736.89,769.97,729.15,731.13,727.02,721.38,736.77,740.88,736.89,769.97,Downtrend,22.25,700.04,773.66,TATACHEM.NS,2026-06-22 00:45:20,OK
UPL Ltd.,Chemicals,608.65,51465.12,27.253803,7.802,,1.4811922,5.614,17.7,33.2,25.06,638.73,690.56,608.65,612.4,607.1,603.4,616.1,621.4,638.73,690.56,Downtrend,14.0,606.79,636.65,UPL.NS,2026-06-22 00:45:21,OK
ACC Ltd.,Construction Materials,1343.3,25276.17,11.8579855,9.198,,1.2299515,10.9280005,32.300000000000004,-68.30000000000001,33.41,1377.61,1626.46,1343.3,1358.23,1346.67,1334.43,1370.47,1382.03,1377.61,1626.46,Downtrend,26.28,1308.73,1395.86,ACC.NS,2026-06-22 00:45:21,OK
Afcons Infrastructure Ltd.,Construction,313.45,11566.83,46.046852,11.699,,2.116776,4.681,-18.9,,34.62,325.64,366.23,313.45,319.33,316.82,314.48,321.67,324.18,325.64,366.23,Downtrend,11.19,309.36,335.84,AFCONS.NS,2026-06-22 00:45:22,OK
Ambuja Cements Ltd.,Construction Materials,423.95,105505.34,22.300419,18.394,,1.7684667,8.302,7.199999999999999,74.9,31.83,437.43,506.45,423.95,429.02,424.18,418.37,434.83,439.67,437.43,506.45,Downtrend,10.79,415.56,445.54,AMBUJACEM.NS,2026-06-22 00:45:23,OK
Dalmia Bharat Ltd.,Construction Materials,1717.2,32409.5,28.399408,11.595,,1.8010668,6.5009999999999994,3.8,-10.8,31.08,1819.95,2031.99,1717.2,1723.63,1712.27,1698.83,1737.07,1748.43,1819.95,2031.99,Downtrend,41.19,1728.95,1799.59,DALBHARAT.NS,2026-06-22 00:45:24,OK
Engineers India Ltd.,Construction,250.74,14107.26,20.389927,18.252,,4.4961934,23.785999999999998,-8.3,-30.3,6.09,240.27,207.01,250.74,250.11,244.68,236.21,258.58,264.01,240.27,207.01,Uptrend,10.19,230.37,271.11,ENGINERSIN.NS,2026-06-22 00:45:24,OK
Grasim Industries Ltd.,Construction Materials,3149.5,214166.97,43.21883,13.332,,2.0696945,6.287,10.5,60.8,1.58,2965.34,2832.14,3149.5,3141.07,3113.23,3081.37,3172.93,3200.77,2965.34,2832.14,Uptrend,57.73,3034.04,3264.96,GRASIM.NS,2026-06-22 00:45:25,OK
India Cements Ltd.,Construction Materials,374.85,17427.05,,32.43,,1.1475395,-0.662,2.6,276.4,22.84,397.38,405.65,374.85,384.18,379.92,376.13,387.97,392.23,397.38,405.65,Downtrend,9.88,377.51,394.6,INDIACEM.NS,2026-06-22 00:45:26,OK
IRB Infrastructure Developers Ltd.,Construction,21.44,25967.7,30.714287,16.273,,1.216201,4.170999999999999,-17.2,43.4,14.37,21.36,21.14,21.44,21.46,21.25,21.08,21.63,21.84,21.36,21.14,Uptrend,0.52,20.41,22.47,IRB.NS,2026-06-22 00:45:27,OK
IRCON International Ltd.,Construction,137.19,12950.9,21.787973,17.586,,1.9481347,9.084,-6.5,-8.799999999999999,33.07,144.14,154.45,137.19,140.21,137.52,135.86,141.87,144.56,144.14,154.45,Downtrend,4.04,136.93,145.27,IRCON.NS,2026-06-22 00:45:28,OK
J.K. Cement Ltd.,Construction Materials,5503.5,42729.34,43.125633,20.328,,6.072579,15.032,8.5,-7.6,27.26,5363.07,5728.12,5503.5,5495.33,5430.67,5321.33,5604.67,5669.33,5363.07,5728.12,Sideways,179.96,5143.57,5863.43,JKCEMENT.NS,2026-06-22 00:45:28,OK
